9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1507    0.014    0.000    0.014    0.000 {method 'add' of 'set' objects}
     1006    0.014    0.000    0.014    0.000 {built-in method _abc._abc_instancecheck}
      574    0.014    0.000    0.020    0.000 <frozen importlib._bootstrap>:103(release)
     1001    0.014    0.000    0.014    0.000 subprocess.py:241(_cleanup)
     1000    0.014    0.000    0.014    0.000 {method 'flush' of '_io.BufferedWriter' objects}
      574    0.013    0.000    0.019    0.000 <frozen importlib._bootstrap>:78(acquire)
   310/92    0.013    0.000    2.122    0.023 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1021    0.013    0.000    0.016    0.000 sre_parse.py:249(match)
      343    0.013    0.000    0.023    0.000 enum.py:12(_is_descriptor)
     1001    0.013    0.000    0.013    0.000 subprocess.py:426(__init__)
     1118    0.012    0.000    0.012    0.000 {method 'rfind' of 'str' objects}
      627    0.012    0.000    0.018    0.000 sre_parse.py:172(append)
     1000    0.012    0.000    0.012    0.000 selectors.py:63(__init__)
      566    0.012    0.000    0.018    0.000 sre_parse.py:286(tell)
     1001    0.012    0.000    0.012    0.000 {built-in method sys.exc_info}
     1001    0.012    0.000    0.012    0.000 contextlib.py:479(__enter__)
      500    0.012    0.000    0.017    0.000 enum.py:368(__setattr__)
      376    0.012    0.000    0.019    0.000 <frozen importlib._bootstrap>:58(__init__)
      312    0.012    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     1111    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
     1153    0.011    0.000    0.011    0.000 {built-in method _thread.get_ident}
      364    0.011    0.000    0.067    0.000 <frozen importlib._bootstrap>:147(__enter__)
      378    0.011    0.000    0.018    0.000 socket.py:86(<lambda>)
    298/5    0.011    0.000    3.397    0.679 <frozen importlib._bootstrap_external>:777(exec_module)
        1    0.011    0.011   15.373   15.373 simpledimple.py:2(<module>)
      518    0.011    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1000    0.011    0.000    0.011    0.000 subprocess.py:1915(_save_input)
      602    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap>:389(parent)
     1003    0.011    0.000    0.011    0.000 {method 'join' of 'bytes' objects}
      377    0.010    0.000    0.017    0.000 socket.py:81(<lambda>)
     1001    0.010    0.000    0.010    0.000 {method 'count' of 'list' objects}
      298    0.010    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      379    0.010    0.000    0.017    0.000 socket.py:91(<lambda>)
     1001    0.010    0.000    0.010    0.000 {method 'rfind' of 'bytes' objects}
      312    0.010    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      312    0.010    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1001    0.010    0.000    0.010    0.000 subprocess.py:904(__enter__)
     1001    0.010    0.000    0.010    0.000 {built-in method sys.audit}
     1066    0.010    0.000    0.010    0.000 {method 'clear' of 'dict' objects}
