multi-process
fuzzer-multi-pls-bro
         1675627 function calls (1390308 primitive calls) in 52.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      165    0.004    0.000    0.014    0.000 sre_compile.py:423(_simple)
       99    0.004    0.000    0.010    0.000 sre_parse.py:84(opengroup)
      277    0.004    0.000    0.012    0.000 {method 'update' of 'dict' objects}
      133    0.004    0.000    0.007    0.000 sre_parse.py:355(_escape)
       38    0.004    0.000    5.869    0.154 __init__.py:1(<module>)
      388    0.004    0.000    0.004    0.000 __init__.py:385(<genexpr>)
      355    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
      388    0.004    0.000    0.004    0.000 {built-in method sys.intern}
      352    0.004    0.000    0.004    0.000 py3compat.py:30(int2byte)
       12    0.004    0.000    0.007    0.001 datetime.py:488(__new__)
      418    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
    82/56    0.004    0.000    0.006    0.000 sre_compile.py:461(_get_literal_prefix)
      418    0.004    0.000    0.004    0.000 {method 'pop' of 'dict' objects}
        1    0.004    0.004    0.010    0.010 six.py:21(<module>)
      388    0.003    0.000    0.003    0.000 {method '__contains__' of 'frozenset' objects}
      256    0.003    0.000    0.003    0.000 binary.py:4(int_to_bin)
      372    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:143(__init__)
   110/25    0.003    0.000    2.146    0.086 {built-in method builtins.__import__}
      303    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
      376    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.003    0.003    0.006    0.006 __init__.py:17(<setcomp>)
      149    0.003    0.000    0.147    0.001 enum.py:278(__call__)
      342    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:397(has_location)
      329    0.003    0.000    0.003    0.000 {built-in method _imp.is_frozen}
       60    0.003    0.000    0.345    0.006 sre_parse.py:937(parse)
       49    0.003    0.000    0.013    0.000 __init__.py:1272(getLogger)
      303    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       97    0.003    0.000    0.006    0.000 hex.py:6(<genexpr>)
      251    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      122    0.003    0.000    0.004    0.000 ssl.py:144(<lambda>)
        1    0.003    0.003    0.003    0.003 {method 'acquire' of '_multiprocessing.SemLock' objects}
      263    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      303    0.003    0.000    0.003    0.000 {built-in method _imp._fix_co_filename}
        1    0.003    0.003    0.007    0.007 tube.py:27(tube)
        1    0.002    0.002    0.012    0.012 hex.py:1(<module>)
        6    0.002    0.000    0.002    0.000 {built-in method posix.chmod}
        4    0.002    0.001    0.025    0.006 io_controller.py:58(test_json)
      303    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      303    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:774(create_module)
      122    0.002    0.000    0.004    0.000 ssl.py:134(<lambda>)
       40    0.002    0.000    0.004    0.000 __init__.py:1323(_fixupParents)
      122    0.002    0.000    0.004    0.000 ssl.py:139(<lambda>)
      122    0.002    0.000    0.004    0.000 types.py:171(__get__)
      257    0.002    0.000    0.002    0.000 hex.py:5(<genexpr>)
        1    0.002    0.002    0.012    0.012 encoder.py:2(<module>)
       60    0.002    0.000    0.006    0.000 enum.py:828(__and__)
       78    0.002    0.000    0.004    0.000 sre_parse.py:295(_class_escape)
       60    0.002    0.000    0.190    0.003 sre_compile.py:598(_code)
      225    0.002    0.000    0.002    0.000 functools.py:63(wraps)
      122    0.002    0.000    0.003    0.000 ssl.py:129(<lambda>)
      107    0.002    0.000    0.009    0.000 re.py:186(match)
      120    0.002    0.000    0.003    0.000 sre_compile.py:595(isstring)
       47    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      122    0.002    0.000    0.004    0.000 ssl.py:149(<lambda>)
       65    0.002    0.000    0.003    0.000 enum.py:484(_find_data_type)
       30    0.002    0.000    0.004    0.000 sre_parse.py:267(getuntil)
       70    0.002    0.000    0.003    0.000 config.py:7(__init__)
      255    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      122    0.002    0.000    0.003    0.000 ssl.py:124(<lambda>)
       65    0.002    0.000    0.006    0.000 enum.py:473(_get_mixins_)
       60    0.002    0.000    0.003    0.000 sre_parse.py:224(__init__)
       76    0.002    0.000    0.003    0.000 signal.py:10(<lambda>)
        1    0.002    0.002    0.037    0.037 tokenize.py:1(<module>)
       96    0.002    0.000    0.003    0.000 py3compat.py:42(bytes2str)
        1    0.002    0.002    0.005    0.005 callframe.py:9(<module>)
      207    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
       47    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      172    0.002    0.000    0.003    0.000 sre_parse.py:168(__setitem__)
      100    0.002    0.000    0.003    0.000 sre_parse.py:432(_uniq)
        3    0.002    0.001    0.004    0.001 tokenize.py:83(_all_string_prefixes)
     26/1    0.002    0.000    0.004    0.004 keymap.py:61(register)
       99    0.002    0.000    0.016    0.000 sre_parse.py:96(closegroup)
       16    0.002    0.000    0.002    0.000 {built-in method posix.waitpid}
        1    0.002    0.002    0.004    0.004 quoprimime.py:5(<module>)
        6    0.002    0.000    0.002    0.000 {built-in method posix.fstat}
       53    0.002    0.000    0.003    0.000 typing.py:172(_collect_type_vars)
      100    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       55    0.002    0.000    0.005    0.000 abc.py:84(__new__)
        1    0.002    0.002    0.135    0.135 _pslinux.py:5(<module>)
       69    0.002    0.000    0.003    0.000 os.py:746(encode)
       88    0.002    0.000    0.002    0.000 six.py:141(__init__)
       16    0.002    0.000    0.003    0.000 {method 'sort' of 'list' objects}
       41    0.001    0.000    0.003    0.000 __init__.py:1392(__init__)
      134    0.001    0.000    0.004    0.000 enum.py:557(__new__)
       69    0.001    0.000    0.005    0.000 os.py:668(__getitem__)
      168    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       13    0.001    0.000    0.239    0.018 enum.py:434(_convert_)
       47    0.001    0.000    0.005    0.000 <frozen zipimport>:63(__init__)
       47    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      203    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       25    0.001    0.000    0.006    0.000 enum.py:119(__prepare__)
        2    0.001    0.001    0.211    0.105 __init__.py:7(<module>)
      165    0.001    0.000    0.001    0.000 enum.py:457(<lambda>)
       47    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      143    0.001    0.000    0.001    0.000 sre_compile.py:65(_combine_flags)
       25    0.001    0.000    0.004    0.000 enum.py:505(_find_new_)
        1    0.001    0.001    0.003    0.003 misc.py:325(register_sizes)
       39    0.001    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
       59    0.001    0.000    0.002    0.000 __init__.py:21(__new__)
       23    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
    26/25    0.001    0.000    0.244    0.010 <frozen importlib._bootstrap>:406(spec_from_loader)
       48    0.001    0.000    0.002    0.000 re.py:268(escape)
      132    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.001    0.001    0.003    0.003 token.py:74(<dictcomp>)
      120    0.001    0.000    0.001    0.000 opcode.py:39(def_op)
       33    0.001    0.000    0.010    0.000 _pslinux.py:1508(wrap_exceptions)
        1    0.001    0.001    0.009    0.009 opcode.py:2(<module>)
       53    0.001    0.000    0.002    0.000 tube.py:1403(make_wrapper)
       67    0.001    0.000    0.002    0.000 __init__.py:223(_releaseLock)
       30    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:872(_resolve_name)
      136    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      121    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       38    0.001    0.000    0.010    0.000 adb.py:129(with_device)
       60    0.001    0.000    0.002    0.000 sre_parse.py:921(fix_flags)
      134    0.001    0.000    0.001    0.000 six.py:88(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
