multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.003    0.001    0.033    0.008 io_controller.py:58(test_json)
      107    0.003    0.000    0.012    0.000 re.py:186(match)
       60    0.003    0.000    0.350    0.006 sre_parse.py:937(parse)
      327    0.003    0.000    0.003    0.000 {built-in method _imp.is_frozen}
      163    0.003    0.000    0.009    0.000 __init__.py:127(__getitem__)
      340    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:397(has_location)
      163    0.003    0.000    0.012    0.000 __init__.py:170(fget)
      319    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      149    0.003    0.000    0.135    0.001 enum.py:278(__call__)
      301    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       49    0.003    0.000    0.012    0.000 __init__.py:1272(getLogger)
      163    0.003    0.000    0.006    0.000 {method '__getitem__' of 'dict' objects}
       97    0.003    0.000    0.006    0.000 hex.py:6(<genexpr>)
      301    0.003    0.000    0.003    0.000 {built-in method _imp._fix_co_filename}
      251    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
       65    0.003    0.000    0.004    0.000 enum.py:484(_find_data_type)
        1    0.003    0.003    0.005    0.005 __init__.py:17(<setcomp>)
        1    0.003    0.003    0.012    0.012 hex.py:1(<module>)
       47    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       76    0.003    0.000    0.005    0.000 signal.py:10(<lambda>)
      301    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:774(create_module)
       60    0.002    0.000    0.007    0.000 enum.py:828(__and__)
       78    0.002    0.000    0.004    0.000 sre_parse.py:295(_class_escape)
      301    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
        1    0.002    0.002    0.014    0.014 opcode.py:2(<module>)
        1    0.002    0.002    0.006    0.006 tube.py:27(tube)
       60    0.002    0.000    0.190    0.003 sre_compile.py:598(_code)
      254    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      257    0.002    0.000    0.002    0.000 hex.py:5(<genexpr>)
      225    0.002    0.000    0.002    0.000 functools.py:63(wraps)
      120    0.002    0.000    0.002    0.000 opcode.py:39(def_op)
       73    0.002    0.000    0.003    0.000 cyclic.py:14(de_bruijn)
       40    0.002    0.000    0.004    0.000 __init__.py:1323(_fixupParents)
        1    0.002    0.002    0.005    0.005 callframe.py:9(<module>)
      122    0.002    0.000    0.003    0.000 ssl.py:124(<lambda>)
      122    0.002    0.000    0.003    0.000 ssl.py:134(<lambda>)
      122    0.002    0.000    0.003    0.000 types.py:171(__get__)
      122    0.002    0.000    0.003    0.000 ssl.py:139(<lambda>)
       47    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      164    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      203    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     26/1    0.002    0.000    0.005    0.005 keymap.py:61(register)
      100    0.002    0.000    0.003    0.000 sre_parse.py:432(_uniq)
